"Number","Position","Team","Age","Foot","Experience","Experience_VFF","Video","Decision","RT","Trial_Number","participant","highest_prio","highest_prio_named","answer","accuracy"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_15\Klip_15_1","highest free man",8.72857000003569,33,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_92\Klip_92_3","switch play",6.32388260005973,34,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_17\Klip_17_2","link out",2.21165269997437,35,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_62\Klip_62_2","switch play",5.01652350008953,36,5,2,"Link out",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_28\Klip_28_3","switch play2",1.75009169999976,37,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_8\Klip_8_2","link out",3.47137060004752,38,5,2,"Link out",2,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_85\Klip_85_4","false switch play2",2.968222699943,39,5,4,"Pass it over the opponent",7,"Bad"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_74\Klip_74_1","highest free man",2.04042719991412,40,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_86\Klip_86_3","switch play",4.51820930000395,41,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_87\Klip_87_3","switch play",2.97481420007534,42,5,3,"Switch play to open lines",3,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_89\Klip_89_4","pass it over",5.65626419999171,43,5,4,"Pass it over the opponent",4,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_36\Klip_36_1","switch play",2.83163330005482,44,5,1,"Highest free man",3,"Good"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_66\Klip_66_1","highest free man",0.942429800052196,45,5,1,"Highest free man",1,"Best"
20,"Fosvarsspiller","U17",15,"Venstre",11,1,"Klip_94\Klip_94_3","false highest free man",4.0229811000172,46,5,3,"Switch play to open lines",5,"Bad"
